"07/15/2021","AQS","061030007","1","27","ug/m3 SC","25","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"07/21/2021","AQS","061030007","1","25","ug/m3 SC","23","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"07/27/2021","AQS","061030007","1","35","ug/m3 SC","32","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"08/02/2021","AQS","061030007","1","27","ug/m3 SC","25","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"08/08/2021","AQS","061030007","1","96","ug/m3 SC","71","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"08/14/2021","AQS","061030007","1","79","ug/m3 SC","63","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"08/20/2021","AQS","061030007","1","91","ug/m3 SC","69","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"08/26/2021","AQS","061030007","1","65","ug/m3 SC","56","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"09/01/2021","AQS","061030007","1","52","ug/m3 SC","48","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"09/07/2021","AQS","061030007","1","51","ug/m3 SC","47","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"09/13/2021","AQS","061030007","1","57","ug/m3 SC","52","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"09/19/2021","AQS","061030007","1","6","ug/m3 SC","6","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"09/28/2021","AQS","061030007","1","8","ug/m3 SC","7","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
"10/01/2021","AQS","061030007","1","29","ug/m3 SC","27","Red Bluff-Walnut St. District Office","1","100.0000","81102","PM10 Total 0-10um STP","063","39780","Red Bluff, CA","06","California","103","Tehama","40.17093","-122.25556"
